파트너 상호,파트너 사업자번호,파트너 담당자,파트너 연락처,파트너 주소
스마트 솔루션,120-86-12345,김민준,02-555-0101,서울시 강남구 테헤란로 152
코리아 데이터 시스템,214-85-67890,이서연,02-345-0202,서울시 구로구 디지털로 300
(주)넥스트 테크놀로지,119-81-11223,박준서,031-777-0303,경기도 성남시 분당구 판교역로 235
중앙네트웍스,220-88-44556,최지우,02-888-0404,서울시 영등포구 국제금융로 10
이지스 보안,125-87-77889,정하윤,02-999-0505,서울시 서초구 서초대로 396
미래 디지털,301-81-99001,강태현,02-111-0606,서울시 마포구 월드컵북로 396
퍼스트 IT,105-86-22334,윤서아,02-222-0707,서울시 강남구 강남대로 390
하나시스템,206-81-55667,임도현,031-888-0808,경기도 성남시 분당구 대왕판교로 660
비전 소프트웨어,135-86-88990,한지민,02-333-0909,서울시 구로구 디지털로 288
블루 정보기술,211-82-12121,오은우,02-444-1010,서울시 송파구 올림픽로 300
